---	EV1	EV2	EV3	EV4	EV5
Eigenvalue	0.000908018778602	0.000527313339692	0.000448999793679	0.000348567872759	0.000193197894186	
Proportion	0.322687173446	0.187393978093	0.159563301679	0.123872307782	0.0686577016463	
Cumulative	0.322687173446	0.510081151539	0.669644453218	0.793516760999	0.862174462646	
LO3	0.511982209085	-0.00602929111977	0.133127038516	-0.131092789334	0.28359485704	
LO3/LO2	0.421857454251	-0.0347894577792	-0.295415044469	-0.503998613242	-0.295870388977	
LFeII/LbHbeta	-0.458918021026	0.00683101748399	-0.0947165796314	-0.455713827375	-0.13834407799	
FWHM_bHbeta	0.385536921076	0.221599048437	0.245373416514	0.443473964497	-0.564560673871	
LNII/LnHalpha	-0.259865516128	0.556263753093	0.230914304885	-0.219513758359	-0.454583206017	
LSII/LnHalpha	-0.0601843065412	0.709838230228	-0.0621324066632	0.152574032905	0.494112216222	
LOIII/LnHbeta	0.275292189531	0.351940314232	-0.616714329882	-0.129181832841	-0.0102384454287	
FWHM_OIII	0.231793035908	0.111529723966	0.623144752275	-0.486109820129	0.208012577536	
