z,LO2,LO3,LnHbeta,LbHbeta,LnHalpha,LbHalpha,LNII,LSII,LFeII,L5100,fwhm_bHbeta,fwhm_OIII
0.02289685,40.3445066124,40.8326305246,40.1380021762,41.0330562616,40.4242603392,41.5435217038,39.8597385808,40.0947002042,41.0845675927,43.2174374632,6298.50921605,336.964260963
0.03022659,40.6612950477,41.5203668373,40.4567866841,41.6567050934,40.7696031891,42.0214834997,40.131003875,40.3231525149,41.3289860714,43.5824992716,4643.51674589,375.142037016
0.03034499,40.2896887218,40.5969050158,39.6480377992,40.4913110552,40.04652504,41.0217846895,39.8936800048,39.9704489366,40.8475376166,42.7683872481,1792.58096884,373.196291573
0.03288136,40.9400338658,41.3689830461,40.3107338895,41.0988345266,40.6237551785,41.6737474246,40.1938454611,40.3484047005,41.2390627672,43.2035698703,3701.18286597,310.928319102
0.03405293,40.8017572455,41.5005589169,40.4707124563,40.9626310357,40.6794076129,41.2541068746,40.1493552051,40.1224933854,40.8377682982,42.950515468,12398.9087309,215.389448106
0.03556989,40.4365847933,41.0030845132,40.229197172,40.9669439379,40.8226187085,41.4484128609,40.6289226808,40.3486784415,41.2171542055,43.4067884573,3050.59714565,349.084709678
0.03562488,41.0972937929,41.0604643385,40.1869575165,41.2869142419,40.466581722,41.6569743065,40.275268308,39.787130254,41.1208446296,43.1597802354,9607.80160772,374.298964047
0.03588414,41.1790041212,41.7190235632,40.6844867061,41.6390421927,40.9731924976,42.0972202217,40.9903942067,40.8199570653,41.3530326884,43.4636392103,5141.91245916,390.506657411
0.03787673,41.1578163219,41.5250167238,40.5683171736,41.2759547973,40.8598937624,41.7995354078,40.245517854,40.4177625815,41.1869073859,43.2687367248,3656.95323191,332.056341677
0.0392371,40.4718671378,40.8293116808,40.245644944,41.0287608538,40.7342632263,41.5541091156,40.3128981352,40.21790116,41.2918244209,43.3079963075,2937.58706628,237.672605407
0.04096914,40.4763552089,40.8580195238,40.4749991826,40.6625412402,40.9347955625,41.2059191562,40.8322276974,40.3854355433,41.0814101459,43.1933524978,2164.28396855,473.885790225
0.04103752,40.4672496292,40.6523647349,39.7508729429,40.6686801723,40.0743262896,41.2132723064,40.1195496202,40.19975152,41.2307958388,43.2414301523,3807.22662243,399.47877375
0.04151702,40.5334416957,40.9722155083,40.2315470939,41.115914131,40.7484236387,41.712222945,40.6895285721,40.3680001485,41.4899058315,43.4930248348,3227.88968536,360.681747014
0.04283992,39.8147801445,40.3809148122,39.4065144033,40.1382009207,39.7639123111,40.824773203,39.6251543079,39.5743890212,40.8095706778,42.8503734683,4618.3783293,357.035594012
