LO3,LO3/LO2,LfeII/LbHbeta,fwhm_bHbeta,LNII/LnHalpha,LSII/LnHalpha,LO3/LnHbeta,fwhm_OIII
40.8326305246,0.4881239122,0.0515113311,6298.50921605,-0.5645217584,-0.329560135,0.6946283484,336.964260963
41.5203668373,0.8590717896,-0.327719022,4643.51674589,-0.6385993141,-0.4464506742,1.0635801532,375.142037016
40.5969050158,0.307216294,0.3562265614,1792.58096884,-0.1528450352,-0.0760761034,0.9488672166,373.196291573
41.3689830461,0.4289491803,0.1402282406,3701.18286597,-0.4299097174,-0.275350478,1.0582491566,310.928319102
41.5005589169,0.6988016714,-0.1248627375,12398.9087309,-0.5300524078,-0.5569142275,1.0298464606,215.389448106
41.0030845132,0.5664997199,0.2502102676,3050.59714565,-0.1936960277,-0.473940267,0.7738873412,349.084709678
41.0604643385,-0.0368294544,-0.1660696123,9607.80160772,-0.191313414,-0.679451468,0.873506822,374.298964047
41.7190235632,0.540019442,-0.2860095043,5141.91245916,0.0172017091,-0.1532354323,1.0345368571,390.506657411
41.5250167238,0.3672004019,-0.0890474114,3656.95323191,-0.6143759084,-0.4421311809,0.9566995502,332.056341677
40.8293116808,0.357444543,0.2630635671,2937.58706628,-0.4213650911,-0.5163620663,0.5836667368,237.672605407
40.8580195238,0.3816643149,0.4188689057,2164.28396855,-0.1025678651,-0.5493600192,0.3830203412,473.885790225
40.6523647349,0.1851151057,0.5621156665,3807.22662243,0.0452233306,0.1254252304,0.901491792,399.47877375
40.9722155083,0.4387738126,0.3739917005,3227.88968536,-0.0588950666,-0.3804234902,0.7406684144,360.681747014
40.3809148122,0.5661346677,0.6713697571,4618.3783293,-0.1387580032,-0.1895232899,0.9744004089,357.035594012
40.7527227347,0.5811144633,0.8033529911,1923.7183195,-0.0970653097,-0.3033080297,1.058204252,318.973211369
40.9480542061,0.4171609672,0.5035546452,1148.78313298,-0.2755734545,-0.4596961943,0.7929128069,348.324538078
40.9052510267,0.4326559135,0.5542512875,2093.96081818,-0.1998911102,-0.4288582368,0.6977820735,248.92263558
41.272261281,0.3426036991,0.2557798611,5585.27038176,-0.6076076161,-0.2637624592,0.8487756509,595.542757061
41.3043404177,0.4146334871,-0.0158113653,4858.975655,-0.196763143,0.0142602584,1.0366822261,316.432692368
41.1214459492,0.3401322921,-0.3926361676,4162.43438453,-0.8395143944,-0.4258473972,0.8774417248,260.39380353
41.0751738769,0.671834947,0.4614472007,1462.62948098,-0.2963869993,-0.3124121746,1.160175322,264.272708858
41.4789113406,0.5815669066,-0.1812668469,9361.95004054,-0.47373511,-0.3167487458,0.9831044697,333.137548371
40.8937853675,0.2931193454,0.5070323287,3039.45129537,-0.2389878879,-0.425102489,0.584921207,323.537213988
40.5266508542,0.297553617,0.4198709197,2399.18029249,-0.120419418,-0.5603456744,0.288270336,351.251324062
40.7472905341,0.2759581374,0.716786951,2277.66185796,-0.3218998666,-0.2047964156,0.8092390488,354.733271472
40.961762717,0.2526102159,0.6293254634,1715.33263305,-0.198828442,-0.4241874368,0.5714073773,311.739048126
41.6520637819,0.7307126775,-0.0973496387,10110.1146586,-0.1734814231,-0.2927578232,1.0649589123,369.166791291
40.9721057986,0.5026070234,0.6031520556,1651.1326931,-0.2389140667,-0.3089589784,0.8992220621,292.221691343
41.179447723,0.4683661141,0.3755060385,4131.05091726,-0.0696639578,-0.3246455576,0.9139131119,280.21159799
41.0757909276,0.4446208643,0.721402217,4181.67206725,-0.2213298062,-0.4536692025,0.7383455618,344.226788094
41.4264710622,-0.081313162,0.7219729084,3180.67624027,-0.1927485918,0.1036231708,0.7583464661,618.716626129
40.6093695389,0.4250883353,0.7234707632,4919.16612051,-0.3348852455,-0.6643126667,0.4986630493,397.493601999
40.6368451716,0.4089724273,0.4995225894,3348.66497791,-0.2157968012,-0.48758768,0.7030483931,274.824780042
40.9091831215,0.2648930549,0.8571293079,1138.82904998,-0.1672680908,-0.4321117962,0.5481891695,315.697937967
40.9463881509,0.0844954364,0.325103048,8231.56473234,-0.1193953057,-0.1594763753,0.5761492779,415.681458974
41.3762337543,0.607912941,0.3497049813,10988.5554187,0.0041750617,-0.2723574395,0.8598082192,376.126317285
40.9512269978,0.4706914336,0.3877953894,4836.23242859,-0.1721865553,-0.2514602893,0.9427455598,370.046088181
40.513741149,0.0832260393,0.7494334579,2299.83549828,0.0249808282,0.0521366112,0.5291741363,553.239574544
40.8603904824,0.4385387196,0.7204746014,4196.21744111,-0.1728014934,-0.4158393079,0.6485077529,309.575228241
41.2027645733,0.2077070431,0.4469135186,2712.25310841,-0.1991596814,-0.3409953042,0.6270258589,295.251245829
40.7348632551,0.3809031914,-0.6082806917,3126.70520985,-0.1678111905,-0.3061312924,0.744758631,470.687234551
41.766560462,0.6619102785,0.2876604773,2197.7540054,-0.3978753841,-0.7279733153,0.5823747124,334.062627666
41.4925039251,0.4025932955,-0.0883583295,12282.070507,-0.0332839048,-0.0376910891,0.9822655636,420.374539326
41.5641694742,0.2430076501,0.1213405915,10474.9603789,-0.0028671119,-0.0482933801,1.009169512,377.349856921
40.8906019042,0.626164019,0.9034509351,2815.93890256,-0.0580633427,-0.3927560909,0.7648491988,335.258711365
41.1720966158,0.4709409296,0.2786662614,9159.18563495,-0.4793872855,-0.2908426702,0.9772625569,329.307776436
41.1615238782,0.5021847825,0.4761763021,2364.63261621,-0.2683749015,-0.4097811525,0.7816265316,275.638749343
41.5490195089,0.3879853516,-0.1756502332,8155.03162449,-0.4427207071,-0.2019187539,0.7368172574,392.280078365
41.4833237245,0.5354915658,-0.4535741889,6369.96640139,-0.0443636562,0.0692772717,1.4464371073,286.470265326
41.5876466295,0.8226779229,0.0848322837,12536.4459689,-0.3959639212,-0.4279886169,1.0456520646,379.136406183
41.9926129476,0.5539828538,-0.0763845177,5296.19872812,-0.4385138326,-0.290528612,1.0123033644,320.550105453
41.4177716978,0.3102850727,0.002653361,4583.81041838,-0.2076061328,-0.2333127269,0.9877901748,327.156008626
41.683244517,0.9311616879,0.0822170711,2554.55752171,-0.3172964639,-0.4583299285,1.2878489972,322.429824804
41.1794067226,0.4388720615,0.4432178749,5736.91470211,-0.0261573103,-0.1252273915,0.8598580821,531.345764094
41.6028991337,0.5808268681,0.7039460173,3992.13591445,-0.1803031699,-0.2641254273,0.9832191472,390.036863643
41.6872866529,0.2838661271,0.0040667368,3238.18774756,-0.3930660395,-0.4460004224,0.7977189073,255.098853219
41.5165524319,0.6227705393,0.0937105302,2717.80807365,-0.1896785184,-0.2349217619,1.1586516451,273.244072534
41.3307517461,0.2276573529,-0.026047447,3009.60579387,-0.2926058641,-0.4684603193,0.4720148337,335.749111408
41.0613486972,0.6513983624,0.2522549905,3019.44615731,-0.0115422832,-0.3254864399,1.0071913675,328.363058336
41.2318582555,0.408669211,0.1432702176,2375.35716415,-0.2811931293,-0.0816497251,0.822404183,539.574336449
41.5557031019,0.6194197813,0.6073777906,2743.47026727,-0.2617949788,-0.3004878543,1.1300195741,363.899693981
41.2526098458,0.3199641554,0.5366939938,2068.41279458,-0.2365288626,-0.5495938704,0.5630590782,352.76125068
41.1437723017,0.5715307579,0.0175224568,1742.83165467,-0.3523936022,-0.6061666759,0.5377477033,263.276408988
